City,lat,lon,Converted ,OUTPUT
"Acton, CA",34.469994,-118.1967418,0.007,54.23472418
Agoura Hills,34.154121,-118.757332,0.02,120.9990813
"Agua Dulce, CA",34.4963817,-118.3256348,0.002,32.28995151
"Alhambra, CA",34.095287,-118.1270146,0.09,475.9502455
Alondra Park,33.883715,-118.339037,0.008,60.62531071
Altadena,34.190162,-118.1313188,0.043,240.6156901
"Arcadia, CA",34.1397292,-118.0353449,0.06,323.266851
"Artesia, CA",33.8658484,-118.0831212,0.021,129.6088035
"Avalon, CA",33.3428193,-118.3282279,0.003,34.73420316
Avocado Heights,34.0361217,-117.9911765,0.015,98.00347085
Azusa,34.1336186,-117.9075627,0.049,269.2501505
"Baldwin Park, CA",34.0852868,-117.9608978,0.079,421.3334096
Bell Gardens,33.9652918,-118.1514588,0.049,268.469631
"Bell, CA",33.8816818,-118.1170117,0.035,195.93
"Bellflower, CA",33.977514,-118.187016,0.085,452.2680897
"Beverly Hills, CA",34.0736204,-118.4003563,0.035,195.7875599
Bradbury,34.146951,-117.970898,0,21.23217872
"Burbank, CA",34.1808392,-118.3089661,0.107,562.778651
Calabasas,34.1367208,-118.6614809,0.023,138.9151028
"Carson, CA",33.8316745,-118.281693,0.097,512.2071037
Castaic,34.4890363,-118.6256552,0.018,111.7447238
Cerritos,33.8583483,-118.0647871,0.059,317.4820556
"Charter Oak, CA",34.098945,-117.848726,0.008,63.57353759
Citrus,34.115008,-117.891729,0.01,71.90559615
"Claremont, CA",34.0966764,-117.7197785,0.035,200.1197878
"Commerce, CA",34.0005691,-118.1597929,0.014,89.80993519
"Compton, CA",33.8958492,-118.2200712,0.107,560.9869074
Covina,34.0900091,-117.8903397,0.049,270.4244212
"Cudahy, CA",33.960865,-118.185786,0.026,153.2828944
Culver City,34.0211224,-118.3964665,0.04,221.1442591
Del Aire,33.9161251,-118.3695196,0.009,67.62104285
Desert View Highlands,34.590823,-118.152574,0.001,27.24399005
Diamond Bar,34.028623,-117.810337,0.057,308.8171816
"Downey, CA",33.9401088,-118.1331593,0.141,735.1601724
Duarte,34.1394513,-117.9772873,0.022,130.9473478
East Compton,33.898071,-118.195348,0.01,70.7241053
East La Mirada,33.924458,-117.988953,0.009,68.88318006
"East Los Angeles, CA",34.022442,-118.166974,0.137,712.8313105
East Pasadena,34.138238,-118.074225,0.005,48.33713721
East Rancho Dominguez,33.898071,-118.195348,0.016,102.916904
East San Gabriel,34.121428,-118.079896,0.015,95.04777567
"East San Gabriel Valley, CA",34.121428,-118.079896,1,5088.894026
El Segundo,33.915007,-118.404626,0.016,103.9217826
Elizabeth Lake,34.666072,-118.397324,0.001,24.05097525
Florence-Graham,33.9671978,-118.2436197,0.066,357.6383711
Hacienda Heights,33.9930677,-117.9686755,0.056,303.6256241
Hasley Canyon,34.474582,-118.67334,0,20.85498828
Hawaiian Gardens,33.8314045,-118.0728424,0.017,104.705755
"Hawthorne, CA",33.9164032,-118.3525748,0.089,473.4836645
Hermosa Beach,33.8622366,-118.3995194,0.019,118.6776459
Hidden Hills,34.160283,-118.65231,0.001,24.90739314
Huntington Park,33.9816812,-118.2250725,0.063,338.1927144
"El Monte, CA",34.0686206,-118.0275667,0.122,639.9749644
"Gardena, CA",33.8883487,-118.3089624,0.062,334.6955217
"Glendale, CA",34.1425078,-118.255075,0.206,1064.940389
"Glendora, CA",34.1361187,-117.865339,0.051,281.7431602
