lat,City,lon,Converted Amount,OUTPUT
34.469994,"Acton, CA",-118.1967418,0.303,84680.23784
34.154121,Agoura Hills,-118.757332,0.706,195524.6277
34.4963817,"Agua Dulce, CA",-118.3256348,0.302,84400.17504
34.095287,"Alhambra, CA",-118.1270146,0.658,182284.2597
33.883715,Alondra Park,-118.339037,0.901,249194.6212
34.190162,Altadena,-118.1313188,0.65,180271.7808
34.1397292,"Arcadia, CA",-118.0353449,0.653,181033.7657
33.8658484,"Artesia, CA",-118.0831212,1,276472.7783
33.3428193,"Avalon, CA",-118.3282279,0.654,181399.3522
34.0361217,Avocado Heights,-117.9911765,0.871,240955.8616
34.1336186,Azusa,-117.9075627,0.643,178259.0136
34.0852868,"Baldwin Park, CA",-117.9608978,0.047,14180.17771
33.9652918,Bell Gardens,-118.1514588,0.8,221462.8487
33.8816818,"Bell, CA",-118.1170117,0.431,119811.6552
33.977514,"Bellflower, CA",-118.187016,0.853,235992.2591
34.0736204,"Beverly Hills, CA",-118.4003563,0.889,245874.8193
34.146951,Bradbury,-117.970898,0.647,179412.8504
34.1808392,"Burbank, CA",-118.3089661,0.663,183692.7494
34.1367208,Calabasas,-118.6614809,0.708,196046.5622
33.8316745,"Carson, CA",-118.281693,0.651,180470.9498
34.4890363,Castaic,-118.6256552,0.648,179742.8057
33.8583483,Cerritos,-118.0647871,0.941,260368.7738
34.098945,"Charter Oak, CA",-117.848726,0,1358.554953
34.115008,Citrus,-117.891729,0.643,178131.3908
34.0966764,"Claremont, CA",-117.7197785,0.069,20433.00829
34.0005691,"Commerce, CA",-118.1597929,0.715,197931.9335
33.8958492,"Compton, CA",-118.2200712,0.476,132352.8935
34.0900091,Covina,-117.8903397,0,1365.364686
33.960865,"Cudahy, CA",-118.185786,0.485,134740.1122
34.0211224,Culver City,-118.3964665,0.847,234259.0429
33.9161251,Del Aire,-118.3695196,0.896,247754.7421
34.590823,Desert View Highlands,-118.152574,0.302,84333.30633
34.028623,Diamond Bar,-117.810337,0.505,140426.292
33.9401088,"Downey, CA",-118.1331593,0.962,265924.0556
34.1394513,Duarte,-117.9772873,0.648,179700.0263
33.898071,East Compton,-118.195348,0.893,246965.5947
33.924458,East La Mirada,-117.988953,0.197,55450.79757
34.022442,"East Los Angeles, CA",-118.166974,0.889,246015.5467
34.138238,East Pasadena,-118.074225,0.656,181792.7195
33.898071,East Rancho Dominguez,-118.195348,0.49,136220.1128
34.121428,East San Gabriel,-118.079896,0.659,182570.6717
34.121428,"East San Gabriel Valley, CA",-118.079896,0.815,225714.0868
33.915007,El Segundo,-118.404626,0.712,197346.8531
34.666072,Elizabeth Lake,-118.397324,0.3,83966.29943
33.9671978,Florence-Graham,-118.2436197,0.74,205027.3691
33.9930677,Hacienda Heights,-117.9686755,0.86,237978.8681
34.474582,Hasley Canyon,-118.67334,0.648,179606.5664
33.8314045,Hawaiian Gardens,-118.0728424,0.915,253146.733
33.9164032,"Hawthorne, CA",-118.3525748,0.718,198909.2053
33.8622366,Hermosa Beach,-118.3995194,0.152,43226.70144
34.160283,Hidden Hills,-118.65231,0.708,196070.541
33.9816812,Huntington Park,-118.2250725,0.664,183982.9059
34.0686206,"El Monte, CA",-118.0275667,0.874,241809.4956
33.8883487,"Gardena, CA",-118.3089624,0.829,229473.0031
34.1425078,"Glendale, CA",-118.255075,0.027,8733.893885
34.1361187,"Glendora, CA",-117.865339,0.64,177469.4506
