City,lat,lon,Converted Amount,OUTPUT
"Acton, CA",34.469994,-118.1967418,0.007,8569.086421
Agoura Hills,34.154121,-118.757332,0.02,19117.85485
"Agua Dulce, CA",34.4963817,-118.3256348,0.002,5101.812338
"Alhambra, CA",34.095287,-118.1270146,0.09,75200.13879
Alondra Park,33.883715,-118.339037,0.008,9578.799093
Altadena,34.190162,-118.1313188,0.043,38017.27904
"Arcadia, CA",34.1397292,-118.0353449,0.06,51076.16245
"Artesia, CA",33.8658484,-118.0831212,0.021,20478.19096
"Avalon, CA",33.3428193,-118.3282279,0.003,5488.0041
Avocado Heights,34.0361217,-117.9911765,0.015,15484.54839
Azusa,34.1336186,-117.9075627,0.049,42541.52379
"Baldwin Park, CA",34.0852868,-117.9608978,0.079,66570.67872
Bell Gardens,33.9652918,-118.1514588,0.049,42418.2017
"Bell, CA",33.8816818,-118.1170117,0.035,30956.94
"Bellflower, CA",33.977514,-118.187016,0.085,71458.35817
"Beverly Hills, CA",34.0736204,-118.4003563,0.035,30934.43447
Bradbury,34.146951,-117.970898,0,3354.684238
"Burbank, CA",34.1808392,-118.3089661,0.107,88919.02685
Calabasas,34.1367208,-118.6614809,0.023,21948.58624
"Carson, CA",33.8316745,-118.281693,0.097,80928.72239
Castaic,34.4890363,-118.6256552,0.018,17655.66636
Cerritos,33.8583483,-118.0647871,0.059,50162.16479
"Charter Oak, CA",34.098945,-117.848726,0.008,10044.61894
Citrus,34.115008,-117.891729,0.01,11361.08419
"Claremont, CA",34.0966764,-117.7197785,0.035,31618.92647
"Commerce, CA",34.0005691,-118.1597929,0.014,14189.96976
"Compton, CA",33.8958492,-118.2200712,0.107,88635.93136
Covina,34.0900091,-117.8903397,0.049,42727.05855
"Cudahy, CA",33.960865,-118.185786,0.026,24218.69732
Culver City,34.0211224,-118.3964665,0.04,34940.79294
Del Aire,33.9161251,-118.3695196,0.009,10684.12477
Desert View Highlands,34.590823,-118.152574,0.001,4304.550427
Diamond Bar,34.028623,-117.810337,0.057,48793.11469
"Downey, CA",33.9401088,-118.1331593,0.141,116155.3072
Duarte,34.1394513,-117.9772873,0.022,20689.68095
East Compton,33.898071,-118.195348,0.01,11174.40864
East La Mirada,33.924458,-117.988953,0.009,10883.54245
"East Los Angeles, CA",34.022442,-118.166974,0.137,112627.3471
East Pasadena,34.138238,-118.074225,0.005,7637.267679
East Rancho Dominguez,33.898071,-118.195348,0.016,16260.87083
East San Gabriel,34.121428,-118.079896,0.015,15017.54856
"East San Gabriel Valley, CA",34.121428,-118.079896,1,804045.2561
El Segundo,33.915007,-118.404626,0.016,16419.64166
Elizabeth Lake,34.666072,-118.397324,0.001,3800.05409
Florence-Graham,33.9671978,-118.2436197,0.066,56506.86264
Hacienda Heights,33.9930677,-117.9686755,0.056,47972.8486
Hasley Canyon,34.474582,-118.67334,0,3295.088147
Hawaiian Gardens,33.8314045,-118.0728424,0.017,16543.50929
"Hawthorne, CA",33.9164032,-118.3525748,0.089,74810.41898
Hermosa Beach,33.8622366,-118.3995194,0.019,18751.06805
Hidden Hills,34.160283,-118.65231,0.001,3935.368116
Huntington Park,33.9816812,-118.2250725,0.063,53434.44888
"El Monte, CA",34.0686206,-118.0275667,0.122,101116.0444
"Gardena, CA",33.8883487,-118.3089624,0.062,52881.89243
"Glendale, CA",34.1425078,-118.255075,0.206,168260.5815
"Glendora, CA",34.1361187,-117.865339,0.051,44515.4193
