City,lat,lon,Converted Amount,OUTPUT
"Acton, CA",34.469994,-118.1967418,0.003,140.9724182
Agoura Hills,34.154121,-118.757332,0.005,193.9081314
"Agua Dulce, CA",34.4963817,-118.3256348,0.001,73.49515094
"Alhambra, CA",34.095287,-118.1270146,0.106,3326.024552
Alondra Park,33.883715,-118.339037,0.008,282.0310713
Altadena,34.190162,-118.1313188,0.037,1188.569012
"Arcadia, CA",34.1397292,-118.0353449,0.054,1726.185097
"Artesia, CA",33.8658484,-118.0831212,0.096,3028.880354
"Avalon, CA",33.3428193,-118.3282279,0.002,87.92031642
Avocado Heights,34.0361217,-117.9911765,0.019,610.3470853
Azusa,34.1336186,-117.9075627,0.032,1041.015055
"Baldwin Park, CA",34.0852868,-117.9608978,0.066,2089.340961
Bell Gardens,33.9652918,-118.1514588,0.12,3789.463103
"Bell, CA",33.8816818,-118.1170117,0.005,195.93
"Bellflower, CA",33.977514,-118.187016,0.147,4624.308969
"Beverly Hills, CA",34.0736204,-118.4003563,0.02,658.7559923
Bradbury,34.146951,-117.970898,0.002,95.21787238
"Burbank, CA",34.1808392,-118.3089661,0.067,2109.365095
Calabasas,34.1367208,-118.6614809,0.007,259.0102757
"Carson, CA",33.8316745,-118.281693,0.098,3100.710372
Castaic,34.4890363,-118.6256552,0.005,182.4723808
Cerritos,33.8583483,-118.0647871,0.168,5261.705562
"Charter Oak, CA",34.098945,-117.848726,0.006,217.8537594
Citrus,34.115008,-117.891729,0.008,273.0596149
"Claremont, CA",34.0966764,-117.7197785,0.015,500.4787791
"Commerce, CA",34.0005691,-118.1597929,0.03,958.4935188
"Compton, CA",33.8958492,-118.2200712,0.169,5315.690735
Covina,34.0900091,-117.8903397,0.033,1056.94212
"Cudahy, CA",33.960865,-118.185786,0.053,1698.289443
Culver City,34.0211224,-118.3964665,0.024,784.4259139
Del Aire,33.9161251,-118.3695196,0.008,277.1042851
Desert View Highlands,34.590823,-118.152574,0.001,59.89900456
Diamond Bar,34.028623,-117.810337,0.031,1005.218157
"Downey, CA",33.9401088,-118.1331593,0.478,14945.51724
Duarte,34.1394513,-117.9772873,0.018,607.2347768
East Compton,33.898071,-118.195348,0.026,851.9105298
East La Mirada,33.924458,-117.988953,0.016,525.3180063
"East Los Angeles, CA",34.022442,-118.166974,0.209,6550.631051
East Pasadena,34.138238,-118.074225,0.008,277.2137211
East Rancho Dominguez,33.898071,-118.195348,0.039,1239.690397
East San Gabriel,34.121428,-118.079896,0.018,583.2775675
"East San Gabriel Valley, CA",34.121428,-118.079896,1,31228.9026
El Segundo,33.915007,-118.404626,0.011,376.1782644
Elizabeth Lake,34.666072,-118.397324,0,42.59752547
Florence-Graham,33.9671978,-118.2436197,0.082,2585.837114
Hacienda Heights,33.9930677,-117.9686755,0.059,1859.062406
