lat,City,lon,Converted Amount
34.469994,"Acton, CA",-118.1967418,0.033
34.154121,Agoura Hills,-118.757332,0.048
34.4963817,"Agua Dulce, CA",-118.3256348,0.029
34.095287,"Alhambra, CA",-118.1270146,0.197
33.883715,Alondra Park,-118.339037,0.179
34.190162,Altadena,-118.1313188,0.137
34.1397292,"Arcadia, CA",-118.0353449,0.149
33.8658484,"Artesia, CA",-118.0831212,1
33.3428193,"Avalon, CA",-118.3282279,0.07
34.0361217,Avocado Heights,-117.9911765,0.232
34.1336186,Azusa,-117.9075627,0.106
34.0852868,"Baldwin Park, CA",-117.9608978,0.01
33.9652918,Bell Gardens,-118.1514588,0.483
33.8816818,"Bell, CA",-118.1170117,0.018
33.977514,"Bellflower, CA",-118.187016,0.373
34.0736204,"Beverly Hills, CA",-118.4003563,0.127
34.146951,Bradbury,-117.970898,0.124
34.1808392,"Burbank, CA",-118.3089661,0.106
34.1367208,Calabasas,-118.6614809,0.056
33.8316745,"Carson, CA",-118.281693,0.168
34.4890363,Castaic,-118.6256552,0.045
33.8583483,Cerritos,-118.0647871,0.668
34.098945,"Charter Oak, CA",-117.848726,0
34.115008,Citrus,-117.891729,0.104
34.0966764,"Claremont, CA",-117.7197785,0.007
34.0005691,"Commerce, CA",-118.1597929,0.326
33.8958492,"Compton, CA",-118.2200712,0.194
34.0900091,Covina,-117.8903397,0
33.960865,"Cudahy, CA",-118.185786,0.231
34.0211224,Culver City,-118.3964665,0.128
33.9161251,Del Aire,-118.3695196,0.157
34.590823,Desert View Highlands,-118.152574,0.028
34.028623,Diamond Bar,-117.810337,0.07
33.9401088,"Downey, CA",-118.1331593,0.837
34.1394513,Duarte,-117.9772873,0.128
33.898071,East Compton,-118.195348,0.46
33.924458,East La Mirada,-117.988953,0.065
34.022442,"East Los Angeles, CA",-118.166974,0.349
34.138238,East Pasadena,-118.074225,0.161
33.898071,East Rancho Dominguez,-118.195348,0.253
34.121428,East San Gabriel,-118.079896,0.173
34.121428,"East San Gabriel Valley, CA",-118.079896,0.214
33.915007,El Segundo,-118.404626,0.11
34.666072,Elizabeth Lake,-118.397324,0.022
33.9671978,Florence-Graham,-118.2436197,0.229
33.9930677,Hacienda Heights,-117.9686755,0.225
34.474582,Hasley Canyon,-118.67334,0.043
33.8314045,Hawaiian Gardens,-118.0728424,0.639
33.9164032,"Hawthorne, CA",-118.3525748,0.134
33.8622366,Hermosa Beach,-118.3995194,0.024
34.160283,Hidden Hills,-118.65231,0.056
33.9816812,Huntington Park,-118.2250725,0.223
34.0686206,"El Monte, CA",-118.0275667,0.245
33.8883487,"Gardena, CA",-118.3089624,0.189
34.1425078,"Glendale, CA",-118.255075,0.006
34.1361187,"Glendora, CA",-117.865339,0.094
