Latitude,Longitude,City,"Land Area
(ft)^2",County,County Code,District,Population,"Waste Generation
(kg/day)","Carbon Footprint
(tonnes/day)","MAX & MIN
CF",Air Quality Index (AQI),Route Number,AADT,"MAX & MIN
RF"
34.469994,-118.1967418,"Acton, CA","1,094,510,000",Los Angeles,LA,7,"7,596",6000.84,37.98,147.1552495,107,14,82357.14286,59899.96729
34.154121,-118.757332,Agoura Hills,"217,173,000",Los Angeles,LA,7,"20,843",16465.97,104.215,,130,101,192269.2308,
34.4963817,-118.3256348,"Agua Dulce, CA","637,021,000",Los Angeles,LA,7,"3,342",2640.18,16.71,,129,14,82357.14286,
34.095287,-118.1270146,"Alhambra, CA","37,078,000",Los Angeles,LA,7,"85,569",67599.51,427.845,,142,110,169423.913,
33.883715,-118.339037,Alondra Park,"30,945,024",Los Angeles,LA,7,"8,592",6787.68,42.96,,134,405,237480,
34.190162,-118.1313188,Altadena,"242,820,000",Los Angeles,LA,7,"42,777",33793.83,213.885,,138,210,171244.898,
34.1397292,-118.0353449,"Arcadia, CA","304,711,000",Los Angeles,LA,7,"58,232",46003.28,291.16,,142,210,171244.898,
33.8658484,-118.0831212,"Artesia, CA","45,163,000",Los Angeles,LA,7,"16,895",13347.05,84.475,,140,605,211740.7407,
33.3428193,-118.3282279,"Avalon, CA","81,684,000",Los Angeles,LA,7,"3,802",3003.58,19.01,,20,5,176685.7143,
34.0361217,-117.9911765,Avocado Heights,"75,550,000",Los Angeles,LA,7,"15,411",12174.69,77.055,,142,10,225827.5862,
34.1336186,-117.9075627,Azusa,"269,310,000",Los Angeles,LA,7,"48,799",38551.21,243.995,,139,210,171244.898,
34.0852868,-117.9608978,"Baldwin Park, CA","184,830,000",Los Angeles,LA,7,"77,119",60924.01,385.595,,142,10,13355,
33.9652918,-118.1514588,Bell Gardens,"68,581,000",Los Angeles,LA,7,"43,146",34085.34,215.73,,140,105,190081.25,
33.8816818,-118.1170117,"Bellflower, CA","170,620,000",Los Angeles,LA,7,"78,236",61806.44,391.18,,140,605,211740.7407,
33.977514,-118.187016,"Bell, CA","69,700,000",Los Angeles,LA,7,"36,217",28611.43,181.085,,140,710,119689.6552,
34.0736204,-118.4003563,"Beverly Hills, CA","159,190,000",Los Angeles,LA,7,"34,871",27548.09,174.355,,137,405,237480,
34.146951,-117.970898,Bradbury,"54,642,000",Los Angeles,LA,7,"1,087",858.73,5.435,,139,210,171244.898,
34.1808392,-118.3089661,"Burbank, CA","483,410,000",Los Angeles,LA,7,"105,368",83240.72,526.84,,137,5,176685.7143,
34.1367208,-118.6614809,Calabasas,"382,210,000",Los Angeles,LA,7,"24,296",19193.84,121.48,,130,101,192269.2308,
