node_id,Building_type,city,county,County_code,District,Route_Number,TOTAL_CF,TOTAL_WG,TOTAL_AQI,TOTAL_RF
1,Small Office,Alameda,Alameda,ALA,4,61,389.27,61504.66,180.5,20669.5
2,Small Office,"Albany, CA",Alameda,ALA,4,80,98.41,15548.78,180.5,212732
3,Small Office,"Ashland, CA",Alameda,ALA,4,185,110.595,17474.01,180.5,19132
4,Small Office,"Berkeley, CA",Alameda,ALA,4,80,595.235,94047.13,180.5,212732
5,Small Office,Castro Valley,Alameda,ALA,4,580,307.91,48649.78,180.5,139674.1053
6,Small Office,Cherryland,Alameda,ALA,4,238,74.61,11788.38,180.5,58220.88889
7,Small Office,"Dublin, CA",Alameda,ALA,4,680,274.445,43362.31,179.5,116719.5
8,Small Office,Emeryville,Alameda,ALA,4,123,57.105,9022.59,180.5,20103.42857
9,Small Office,"Fairview, CA",Alameda,ALA,4,580,50.985,8055.63,181.5,139674.1053
10,Small Office,"Hayward, CA",Alameda,ALA,4,92,774.03,122296.74,181.5,78557.13514
11,Medium Office,Alameda,Alameda,ALA,4,61,413.955,65404.89,180.5,20697.5
12,Medium Office,"Albany, CA",Alameda,ALA,4,80,123.095,19449.01,180.5,212760
13,Medium Office,"Ashland, CA",Alameda,ALA,4,185,135.28,21374.24,180.5,19160
14,Medium Office,"Berkeley, CA",Alameda,ALA,4,80,619.92,97947.36,180.5,212760
15,Medium Office,Castro Valley,Alameda,ALA,4,580,332.595,52550.01,180.5,139702.1053
16,Medium Office,Cherryland,Alameda,ALA,4,238,99.295,15688.61,180.5,58248.88889
17,Medium Office,"Dublin, CA",Alameda,ALA,4,680,299.13,47262.54,179.5,116747.5
18,Medium Office,Emeryville,Alameda,ALA,4,123,81.79,12922.82,180.5,20131.42857
19,Medium Office,"Fairview, CA",Alameda,ALA,4,580,75.67,11955.86,181.5,139702.1053
20,Medium Office,"Hayward, CA",Alameda,ALA,4,92,798.715,126196.97,181.5,78585.13514
21,Large Office,Alameda,Alameda,ALA,4,61,437.765,69166.87,180.5,20699.5
22,Large Office,"Albany, CA",Alameda,ALA,4,80,146.905,23210.99,180.5,212762
23,Large Office,"Ashland, CA",Alameda,ALA,4,185,159.09,25136.22,180.5,19162
24,Large Office,"Berkeley, CA",Alameda,ALA,4,80,643.73,101709.34,180.5,212762
25,Large Office,Castro Valley,Alameda,ALA,4,580,356.405,56311.99,180.5,139704.1053
26,Large Office,Cherryland,Alameda,ALA,4,238,123.105,19450.59,180.5,58250.88889
27,Large Office,"Dublin, CA",Alameda,ALA,4,680,322.94,51024.52,179.5,116749.5
28,Large Office,Emeryville,Alameda,ALA,4,123,105.6,16684.8,180.5,20133.42857
29,Large Office,"Fairview, CA",Alameda,ALA,4,580,99.48,15717.84,181.5,139704.1053
30,Large Office,"Hayward, CA",Alameda,ALA,4,92,822.525,129958.95,181.5,78587.13514
31,Primary School,Alameda,Alameda,ALA,4,61,434.525,68654.95,180.5,20661.5
32,Primary School,"Albany, CA",Alameda,ALA,4,80,143.665,22699.07,180.5,212724
33,Primary School,"Ashland, CA",Alameda,ALA,4,185,155.85,24624.3,180.5,19124
34,Primary School,"Berkeley, CA",Alameda,ALA,4,80,640.49,101197.42,180.5,212724
35,Primary School,Castro Valley,Alameda,ALA,4,580,353.165,55800.07,180.5,139666.1053
36,Primary School,Cherryland,Alameda,ALA,4,238,119.865,18938.67,180.5,58212.88889
37,Primary School,"Dublin, CA",Alameda,ALA,4,680,319.7,50512.6,179.5,116711.5
38,Primary School,Emeryville,Alameda,ALA,4,123,102.36,16172.88,180.5,20095.42857
39,Primary School,"Fairview, CA",Alameda,ALA,4,580,96.24,15205.92,181.5,139666.1053
40,Primary School,"Hayward, CA",Alameda,ALA,4,92,819.285,129447.03,181.5,78549.13514
