Building Types,City,District,Route Number,Population_BT,Population_L,CF_BT,CF_L,WG_B,WG_L,AQI_BT,AQI_L,RF_BT,RF_L,TOTAL CF,TOTAL WG,TOTAL AQI,TOTAL RF
Small Office,"Acton, CA",7.000000,14.000000,194.000000,7596.000000,0.970000,37.980000,153.260000,6000.840000,75.500000,107.000000,32.000000,82357.142860,38.950000,6154.100000,182.500000,82389.142860
Medium Office,"Acton, CA",7.000000,14.000000,5131.000000,7596.000000,25.655000,37.980000,4053.490000,6000.840000,75.500000,107.000000,60.000000,82357.142860,63.635000,10054.330000,182.500000,82417.142860
Large Office,"Acton, CA",7.000000,14.000000,9893.000000,7596.000000,49.465000,37.980000,7815.470000,6000.840000,75.500000,107.000000,62.000000,82357.142860,87.445000,13816.310000,182.500000,82419.142860
Primary School,"Acton, CA",7.000000,14.000000,9245.000000,7596.000000,46.225000,37.980000,7303.550000,6000.840000,75.500000,107.000000,24.000000,82357.142860,84.205000,13304.390000,182.500000,82381.142860
Secondary School,"Acton, CA",7.000000,14.000000,17574.000000,7596.000000,87.870000,37.980000,13883.460000,6000.840000,75.500000,107.000000,66.000000,82357.142860,125.850000,19884.300000,182.500000,82423.142860
University,"Acton, CA",7.000000,14.000000,37808.000000,7596.000000,189.040000,37.980000,29868.320000,6000.840000,101.000000,107.000000,190.000000,82357.142860,227.020000,35869.160000,208.000000,82547.142860
Hospital,"Acton, CA",7.000000,14.000000,2969.000000,7596.000000,14.845000,37.980000,2345.510000,6000.840000,101.000000,107.000000,122.000000,82357.142860,52.825000,8346.350000,208.000000,82479.142860
Mall,"Acton, CA",7.000000,14.000000,9182.000000,7596.000000,45.910000,37.980000,7253.780000,6000.840000,101.000000,107.000000,288.000000,82357.142860,83.890000,13254.620000,208.000000,82645.142860
Small Office,Agoura Hills,7.000000,101.000000,194.000000,20843.000000,0.970000,104.215000,153.260000,16465.970000,75.500000,130.000000,32.000000,192269.230800,105.185000,16619.230000,205.500000,192301.230800
Medium Office,Agoura Hills,7.000000,101.000000,5131.000000,20843.000000,25.655000,104.215000,4053.490000,16465.970000,75.500000,130.000000,60.000000,192269.230800,129.870000,20519.460000,205.500000,192329.230800
Large Office,Agoura Hills,7.000000,101.000000,9893.000000,20843.000000,49.465000,104.215000,7815.470000,16465.970000,75.500000,130.000000,62.000000,192269.230800,153.680000,24281.440000,205.500000,192331.230800
Primary School,Agoura Hills,7.000000,101.000000,9245.000000,20843.000000,46.225000,104.215000,7303.550000,16465.970000,75.500000,130.000000,24.000000,192269.230800,150.440000,23769.520000,205.500000,192293.230800
Secondary School,Agoura Hills,7.000000,101.000000,17574.000000,20843.000000,87.870000,104.215000,13883.460000,16465.970000,75.500000,130.000000,66.000000,192269.230800,192.085000,30349.430000,205.500000,192335.230800
University,Agoura Hills,7.000000,101.000000,37808.000000,20843.000000,189.040000,104.215000,29868.320000,16465.970000,101.000000,130.000000,190.000000,192269.230800,293.255000,46334.290000,231.000000,192459.230800
